sheet,fieldName,fieldDefinition,fieldType,formatString,loopup,unit,minValue,maxValue
Location,site,MarineGEO site abbreviation,list,,,,,
Location,locationID,Unique code for each sampling location,string,,,,,
Location,locality,Local or common name of the sampling location,string,,,,,
Location,decimalLatitude,"Decimal Latitude hh.hhhhhhh, approximate",decimal,,,degree,-90,90
Location,decimalLongitude,"Decimal Longitude hh.hhhhhhh, approximate",decimal,,,degree,-180,180
Location,locationRemarks,Comments or notes about the Location,string,,,,,
CoverTypes,type,"cover type to use",string,,,,,
CoverTypes,vernacularName,"A common or vernacular name",string,,,,,
CoverTypes,scientificName,"Lowest known taxon name",string,,,,,
CoverTypes,taxonRank,"The taxonomic rank of the most specific name in the scientificName.",list,,,,,
Cover,locationID,Foreign key to the locationID defined on the Location sheet,fkey,,Location$locationID,,,
Cover,eventDate,"Sampling date (YYYY-MM-DD)",date,YYYY-MM-DD,,,,
Cover,eventTime,"Sampling time. Military format (HH:MM)",date,HH:MM,,,,
Cover,transectNumber,"Transect Number",integer,,,dimensionless,1,3
Cover,stopNumber,"Stop number along transect",integer,,,dimensionless,1,5
Cover,coverType,"Lowest known taxon name",fkey,,CoverTypes$type,,,
Cover,percentCover, Percent cover of category,list,,,,,
