sheet,fieldName,fieldDefinition,fieldType,formatString,lookup,unit,minValue,maxValue,warnLevel
Location,site,MarineGEO site abbreviation,list,,,,,,warning
Location,locationID,Unique code for each sampling location,string,,,,,,warning
Location,locality,Local or common name of the sampling location,string,,,,,,warning
Location,date,Sampling date,date,YYYY-MM-DD,,,,,warning
Location,decimalLatitude,"Decimal latitude hh.hhhhhhh",decimal,,,degree,-90,90,warning
Location,decimalLongitude,"Decimal longitude hh.hhhhhhh",decimal,,,degree,-180,180,warning
Location,locationRemarks,Comments or notes about the location,string,,,,,,warning
Cover,locationID,Foreign key to the locationID defined on the Location sheet,fkey,,Location$locationID,,,,warning
Cover,transectNumber,"Transect Number",integer,,,dimensionless,1,3,warning
Cover,quadrat,"Stop number along transect",integer,,,dimensionless,1,12,warning
Cover,coverType,Type of cover,list,,,,,,warning
Cover,ScientificName,"Lowest known taxon name",string,,,,,,warning
Cover,percentCover, Percent cover of category,list,,,,,,warning
Shoots,locationID,Foreign key to the locationID defined on the Location sheet,fkey,,Location$locationID,,,,warning
Shoots,transectNumber,"Transect Number",integer,,,dimensionless,1,3,warning
Shoots,quadrat,"Stop number along transect",integer,,,dimensionless,1,12,warning
Shoots,totalShoots,"Total number of shoots in the 0.25x0.25m subquadrat",integer,,,dimensionless,0,,warning
Shoots,grazingScars,"Presence of any grazing scars within or immediately adjacent to the quadrat",list,,,,,,warning
Shoots,media,"File names of quadrat photos.",string,,,,,,warning
Invertebrates,locationID,Foreign key to the locationID defined on the Location sheet,fkey,,Location$locationID,,,,warning
Invertebrates,transectNumber,"Transect Number",integer,,,dimensionless,1,3,warning
Invertebrates,quadrat,"Stop number along transect",integer,,,dimensionless,1,12,warning
Invertebrates,vernacularName,"A common or vernacular name",string,,,,,,warning
Invertebrates,taxonRank,"The taxonomic rank of the most specific name in the scientificName.",list,,,,,,warning
Invertebrates,scientificName,"Lowest known taxon name",string,,,,,,warning
Invertebrates,speciesIdentifiedBy,"Full name (first last) of person who identified the taxon.",string,,,,,,warning
Invertebrates,bodyLength,Approximate size of the mobile benthic invertebrate in centimeters,decimal,,,centimeter,0,,warning
