sheet,fieldName,fieldDefinition,fieldType,formatString,lookup,unit,minValue,maxValue,warnLevel
Location,site,MarineGEO site abbreviation,list,,,,,,warning
Location,locationID,Unique code for each sampling location,string,,,,,,warning
Location,locality,Local or common name of the sampling location,string,,,,,,warning
Location,decimalLatitude,"Decimal latitude hh.hhhhhhh",decimal,,,degree,-90,90,warning
Location,decimalLongitude,"Decimal longitude hh.hhhhhhh",decimal,,,degree,-180,180,warning
Location,locationRemarks,Comments or notes about the location,string,,,,,,warning
Taxon,taxonID,Unique Identifer for taxon,string,,,,,,warning
Taxon,vernacularName,"A common or vernacular name",string,,,,,,warning
Taxon,taxonRank,"The taxonomic rank of the most specific name in the scientificName.",list,,,,,,warning
Taxon,scientificName,"Lowest known taxon name",string,,,,,,warning
Sieve,locationID,Foreign key to the locationID defined on the Location sheet,fkey,,Location$locationID,,,,warning
Sieve,sampleID,"Seagrass Sample Identifier",string,,,,,,warning
Sieve,collectionDate,Date seagrass was collected,date,YYYY-MM-DD,,,,,warning
Sieve,processingDate,Date seagrass sample was processed in the lab,date,YYYY-MM-DD,,,,,warning
Sieve,taxonID,Unique Identifer for taxon,fkey,,Taxon$taxonID,,,,warning
Sieve,count,Number of individuals per sieve size,integer,,,dimensionless,0,,warning
Sieve,sieveSize,Seive Mesh Size in mm,list,,,milimeters,,,warning
Weight,locationID,Foreign key to the locationID defined on the Location sheet,fkey,,Location$locationID,,,,warning
Weight,sampleID,"Seagrass Sample Identifier",string,,,,,,warning
Weight,collectionDate,Date seagrass was collected,date,YYYY-MM-DD,,,,,warning
Weight,processingDate,Date seagrass sample was processed in the lab,date,YYYY-MM-DD,,,,,warning
Weight,taxonID,Unique Identifer for taxon,fkey,,Taxon$taxonID,,,,warning
Weight,tinMass,Empty tin mass in grams,decimal,,,grams,0,,warning
Weight,tinDryMass,Tin plus dry mass in grams,decimal,,,grams,0,,warning
Weight,tinAshMass,Tin plus ash mass in grams,decimal,,,grams,0,,warning
