fieldName,code,definition
site,AUS-TAS,"Tasmania"
site,BEL-CBC,"Carrie Bow Cay, Belize"
site,CAN-BCC,"Hakai Institute, British Columbia, Canada"
site,HKG-HKG,Hong Kong
site,PAN-BDT,"Bocas del Toro, Panama"
site,POR-MAD,Madeira
site,USA-IRL,"Smithsonian Marine station at Fort Pierce, Florida"
site,USA-HIK,"Kane'ohe Bay, Hawai'i"
site,USA-MDA,"Smithsonian Environmental Research Center at Edgewater, Maryland"
site,USA-SFB,"San Francisco Bay, California"
site,USA-TXS,"Gulf Coast, Texas"
site,USA-WAS,"Friday Harbor, Washington"
sieveSize,8.0,8.0 mm sieve
sieveSize,5.6,5.6 mm sieve
sieveSize,4.0,4.0 mm sieve
sieveSize,2.8,2.8 mm sieve
sieveSize,2.0,2.0 mm sieve
sieveSize,1.4,1.4 mm sieve
sieveSize,1.0,1.0 mm sieve
sieveSize,0.71,0.71 mm sieve
sieveSize,0.5,0.5 mm sieve
taxonRank,Class,
taxonRank,Order,
taxonRank,Family,
taxonRank,Genus,
taxonRank,Species,
taxonRank,Subgenus,
taxonRank,Subspecies,
