sheet,fieldName,fieldDefinition,fieldType,formatString,loopup,unit,minValue,maxValue
Location,site,MarineGEO site abbreviation,list,,,,,
Location,locationID,Unique code for each deployment location,string,,,,,
Location,locality,Local or common name of the sampling location,string,,,,,
Location,decimalLatitude,"Decimal Latitude hh.hhhhhhh, approximate",decimal,,,degree,-90,90
Location,decimalLongitude,"Decimal Longitude hh.hhhhhhh, approximate",decimal,,,degree,-180,180
Location,habitat,habitat type of deployment location,list,,,,,
Location,geoform,"CMECS geoform (see: https://iocm.noaa.gov/cmecs/)",list,,,,,
Location,substrate,"CMECS substrate class (see: https://iocm.noaa.gov/cmecs/)",list,,,,,
Location,biotic,"CMECS biotic class (see: https://iocm.noaa.gov/cmecs/)",list,,,,,
Location,locationRemarks,Comments or notes about the Location,string,,,,,
Event,locationID,Foreign key to locationID,fkey,,Location$locationID,,,
Event,eventID,Short unique code name for the sampling event,string,,,,,
Event,eventDate,"Sampling date (YYYY-MM-DD)",date,YYYY-MM-DD,,,,
Event,eventTime,"Sampling time. Military format (HH:MM)",date,HH:MM,,,,
Event,recordedBy,"People who collected the sample. First name Last name, multiple people separated by a semicolons ( ; )",string,,,,,
Event,samplingProtocol,"Collection method. Free response",string,,,,,
Event,depth,Depth of sampling in meters,decimal,,,meter,0,
Event,eventMedia,"Photos associated with the sampling event or locality. Enter {Y or N} if photo file names are not yet available; or enter names of associated photo files if available. If a photo exists, the photo file should be named with the occurrenceID somewhere in the filename (ideally at the beginning of the filename). Separate multiple file names with a semicolon (;).",string,,,,,
Event,samplingProtocol,"Field notes on the locality/station/event. Free response.",string,,,,,
CoverData,eventID,Foreign key to the eventID defined on the Event sheet,fkey,,Event$eventID,,,
CoverData,dataEntryBy,"Full name of person(s) entering data. Separate multiple names with semicolons.",string,,,,,
CoverData,dataEntryDate,"Date the data was entered to this form. If data was entered over multiple days, please report the last date.",date,YYYY-MM-DD,,,,
CoverData,depth,Depth of sampling in meters,decimal,,,meter,0,
CoverData,transectNumber,"Number of the specific transect deployed at that location",integer,,,dimensionless,0,
CoverData,transectLength,Depth of sampling in meters,decimal,,,meter,0,
CoverData,quadratNumber,"Number of the transect deployed along that transect",integer,,,dimensionless,0,
CoverData,quadratArea,"Area of the quadrat deployed to measure percent cover",decimal,,,squareMeter,0,
CoverData,scientificName,"Lowest known taxon name",string,,,,,
